gbs_customer_number,gbs_customer_name,risk_class,gbs_payment_term,order_number,invoice_number,item_family_name,item_product_type,collector_code,gbs_document_date,gbs_due_date,gbs_clearing_date,payment_days,days_to_pay,customer,gbs_amount_paid,bill_location_country_cd,ship_type,order_type_description,route_description,sales_rep_name,business_unit,reason_coding,invc_rjctn_sts,invc_rjctn_desc,trx_type,amnt_categ,product_category,biczincotrm
MY10_1000509142,CTC GLOBAL SDN BHD,HLD,NT07,70143714.0,4200004632,FLASH,HARDWARE,MY002,2015-03-27 00:00:00,2015-04-26 00:00:00,2015-03-31 00:00:00,-26.0,30.0,Good,2413195,MY,,EMC Debit Memo Req,,"NG, JUNHOCK",MY10,,,,,High Pay,Product PS level 1,Ex Works
IE10_1000264302,"TODAY SCIENCE & TECHNOLOGY DEVELOPMENT CO., LTD",LOW,NT07,310294037.0,3700195385,CUSTOMER SERVICE,CS SOFTWARE,CN001,2017-03-24 00:00:00,2017-04-23 00:00:00,2017-04-24 00:00:00,1.0,30.0,Good,17250,CN,,EMC Std. Sales Order,,"QUOTA HOUSE, CHINA",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000236395,"NOX CO., LTD.",LOW,EO10,310405922.0,4000105469,DATADOMAIN,SOFTWARE,JP001,2017-09-20 00:00:00,2017-10-30 00:00:00,2017-10-30 00:00:00,0.0,40.0,Good,15527,JP,Truck,EMC Std. Sales Order,IE to JP - 5 - 7 Day Ground Direct,"SUZUKI, HIRONORI",JP10,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
SG10_1000260484,UNITED OVERSEAS BANK LIMITED,LOW,NT07,310302037.0,4500017780,CUSTOMER SERVICE,CS SOFTWARE,SG001,2017-03-31 00:00:00,2017-05-04 00:00:00,2017-06-27 00:00:00,54.0,34.0,Bad,108043,SG,,EMC Std. Sales Order,,"TOH, BOONSIN",SG10,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
KR11_1000258016,DATASOLUTION INC.,LOW,LC09,310153460.0,2230013504,DATADOMAIN,HARDWARE,KH001,2016-09-26 00:00:00,2017-02-23 00:00:00,2016-10-20 00:00:00,-126.0,150.0,Good,666348,KR,Air,EMC Std. Sales Order,IE to KR - 4 - 6 Day Air MIT CORK,"KIM, SANG GYUM",KR11,,,,,High Pay,Product PS level 1,Ex Works
CN10_1000356308,"BEIMING SOFTWARE CO., LTD.",HI,,,SW1511-21,,,CN002,2015-11-09 00:00:00,2015-11-09 00:00:00,2015-11-09 00:00:00,0.0,0.0,Good,-307282,,,,,,CN10,,,,,Low Pay,,
IE10_1000732730,ALLSCRIPTS (INDIA) LLP,NEW,,,3700178707,,,IE007,2017-11-03 00:00:00,2017-11-03 00:00:00,2018-02-02 00:00:00,91.0,0.0,Bad,19,,,,,,IE10,,,,,Low Pay,,
NZ10_1000268999,ERICSSON AUSTRALIA PTY LTD,LOW,NT12,310258419.0,4300007528,UNIFIED,SOFTWARE,NZ002,2017-05-08 00:00:00,2017-07-07 00:00:00,2017-08-01 00:00:00,25.0,60.0,Bad,22452,AU,,EMC Std. Sales Order,,"FRANCISCUS, ANTHONY",NZ10,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
PH10_1000301116,"MSI ECS PHILS., INC.",HLD,NT07,30686252.0,1250002382,CUSTOMER SERVICE,CS SOFTWARE,PH001,2015-08-12 00:00:00,2015-09-11 00:00:00,2015-08-25 00:00:00,-17.0,30.0,Good,22890,PH,,EMC Std. Sales Order,,"ALILAM, MASHERRY",PH10,,0.0,,PROCESSED,Low Pay,Product PS level 1,Ex Works
AU12_1000345726,THOMAS DURYEA CONSULTING,HI,NT07,30760715.0,2700042453,STORAGE RESOURCE MGMT,SOFTWARE,AU001,2015-12-29 00:00:00,2016-01-28 00:00:00,2016-02-09 00:00:00,12.0,30.0,Good,367081,AU,,EMC Std. Sales Order,,,AU12,Unbilled/Partially Billed,0.0,,PROCESSED,High Pay,Product PS level 1,Carriage and insurance paid to
MY10_1000640919,CELCOM NETWORKS SDN BHD,NEW,NT07,70156551.0,4200005294,,PROFESSIONAL SERVICES,MY001,2015-07-02 00:00:00,2015-08-01 00:00:00,2016-07-04 00:00:00,338.0,30.0,Bad,2227,MY,,EMC Debit Memo Req,,,MY10,,,,,Low Pay,PS Level 2,
IE10_1003829999,BOYA DIGITAL TECHNOLOGY (BEIJING) CO LTD,HI,LC06,310008113.0,3700161467,,CS SOFTWARE,CN001,2016-03-14 00:00:00,2016-05-08 00:00:00,2016-05-25 00:00:00,17.0,55.0,Bad,169285,CN,,EMC Std. Sales Order,,"SUN, CHUAN",IE10,,0.0,,PROCESSED,High Pay,Product PS level 1,Carriage and insurance paid to
TH10_1000356316,"VNOHOW (THAILAND) CO., LTD.",HI,NT07,30708780.0,1210003834,CUSTOMER EDUCATION,CUSTOMER EDUCATION,TH001,2015-09-28 00:00:00,2015-10-28 00:00:00,2015-11-03 00:00:00,6.0,30.0,Good,267,TH,,EMC Std. Sales Order,,,TH10,,0.0,,PROCESSED,Low Pay,Customer Education,Delivered Duty Paid
IN10_1000348630,TECH MAHINDRA LIMITED,HLD,,,JAN 17 WRITE OFF,,,IN001,2017-02-01 00:00:00,2017-02-01 00:00:00,2017-02-01 00:00:00,0.0,0.0,Good,-1471,,,,,,IN10,,,,,Low Pay,,
JP10_1000239892,"UNIADEX, LTD.",LOW,EO10,40815842.0,4000104182,CUSTOMER SERVICE,CS SOFTWARE,JP001,2017-08-18 00:00:00,2017-09-30 00:00:00,2017-09-29 00:00:00,-1.0,43.0,Good,5633,JP,,Service and Maint.,,,JP10,,,,,Low Pay,RENEWAL,Delivered Duty Paid
KR10_1000031449,NEODIAN TECHNOLOGY,LOW,NT07,40730915.0,4700026667,SYMMETRIX,CS HARDWARE,KR001,2016-12-30 00:00:00,2017-01-29 00:00:00,2017-02-09 00:00:00,11.0,30.0,Good,24444,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,Ex Works
TH10_1000119494,VST ECS (THAILAND) COMPANY LIMITED,LOW,NT07,30700596.0,1210003790,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,TH001,2015-09-15 00:00:00,2015-10-15 00:00:00,2015-11-18 00:00:00,34.0,30.0,Bad,110241,TH,,EMC Std. Sales Order,,,TH10,Missing Backup document,0.0,,CBI,High Pay,Product PS level 1,Ex Works
AU12_1000264122,INGRAM MICRO PTY LTD,NEW,NT07,30571987.0,2700034293,CUSTOMER SERVICE,CS SOFTWARE,AU001,2015-02-05 00:00:00,2015-03-07 00:00:00,2015-04-08 00:00:00,31.0,30.0,Bad,21527,AU,,EMC Std. Sales Order,,,AU12,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000344970,INGRAM MICRO INDIA PRIVATE LIMITED SINGAPORE BRANCH,HLD,NT07,30737941.0,3700149680,CUSTOMER SERVICE,CS SOFTWARE,IE007,2015-11-12 00:00:00,2015-12-12 00:00:00,2016-03-31 00:00:00,109.0,30.0,Bad,9027,SG,,EMC Std. Sales Order,,,IE10,,0.0,,PROCESSED,Low Pay,Product PS level 1,Ex Works
IE10_1000297533,DIGITAL CHINA TECHNOLOGY LIMITED,MED,NT10,310312113.0,3700197297,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,CN001,2017-04-14 00:00:00,2017-05-29 00:00:00,2017-06-15 00:00:00,17.0,45.0,Bad,30000,HK,,EMC Std. Sales Order,,"CHEN, BRUCE",IE10,,,,,Low Pay,PS Level 2,Carriage and insurance paid to
IE10_1000056213,SYNNEX TECHNOLOGY INTERNATIONAL (HK) LTD,LOW,NT07,310408884.0,3700210517,,CS HARDWARE,CN001,2017-09-09 00:00:00,2017-10-09 00:00:00,2017-10-23 00:00:00,14.0,30.0,Good,48475,HK,,EMC Std. Sales Order,,"LU, RONGHUA",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000042435,BESTCOM INFOTECH CORP,EXL,NT07,30579668.0,3700123849,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,TW001,2015-02-26 00:00:00,2015-03-28 00:00:00,2015-04-13 00:00:00,16.0,30.0,Bad,1750,TW,,EMC Std. Sales Order,,,IE10,,,,,Low Pay,Professional Service,Ex Works
MY10_1000509142,CTC GLOBAL SDN BHD,HLD,NT07,70143714.0,4200004632,FLASH,SOFTWARE,MY002,2015-03-27 00:00:00,2015-04-26 00:00:00,2015-03-31 00:00:00,-26.0,30.0,Good,2413195,MY,,EMC Debit Memo Req,,"NG, JUNHOCK",MY10,,,,,High Pay,Product PS level 1,Ex Works
IE10_1000652350,"CHANGHONG IT (HONGKONG) INFORMATION PRODUCTS CO., LIMITED",LOW,NT07,50210357.0,3700142442,,HARDWARE,CN001,2015-09-04 00:00:00,2015-09-04 00:00:00,2015-11-25 00:00:00,82.0,0.0,Bad,-178,HK,,EMC Credit Memo Req,,,IE10,,0.0,,PROCESSED,Low Pay,Product PS Level 2,
JP10_1000184606,DAIWA INSTITUTE OF RESEARCH LTD.,LOW,EO10,40516308.0,4000064236,CUSTOMER SERVICE,CS SOFTWARE,JP001,2015-06-04 00:00:00,2015-07-30 00:00:00,2015-07-31 00:00:00,1.0,56.0,Good,209,JP,,Service and Maint.,,"NAKAMURA, YOKO",JP10,,,,,Low Pay,RENEWAL,
KR10_1000238209,"ENS SOLUTION CO., LTD.",LOW,,,K1705-088,,,KR001,2017-05-29 00:00:00,2017-05-29 00:00:00,2017-05-29 00:00:00,0.0,0.0,Good,-20025,,,,,,KR10,,,,,Low Pay,,
JP10_1000242020,NETWORLD CORPORATION,LOW,EO10,30733237.0,4000072958,CUSTOMER SERVICE,CS SOFTWARE,JP001,2015-11-17 00:00:00,2015-12-30 00:00:00,2017-06-30 00:00:00,547.0,43.0,Bad,21636,JP,,EMC Std. Sales Order,,,JP10,,0.0,,PROCESSED,Low Pay,Product PS level 1,Delivered Duty Paid
KR10_1000218821,KOREA INFORMATION ENGINEERING SERVICES,HI,NT07,40746820.0,4700027118,SYMMETRIX,CS HARDWARE,KR001,2017-01-05 00:00:00,2017-02-04 00:00:00,2017-03-13 00:00:00,36.0,30.0,Bad,11062,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,Ex Works
SG10_1000176816,NCS PTE. LTD.,HI,NT07,310015665.0,4500014231,CUSTOMER SERVICE,CS HARDWARE,SG001,2016-03-09 00:00:00,2016-04-08 00:00:00,2016-07-29 00:00:00,112.0,30.0,Bad,19863,SG,,Contract Eval,,"LEE, PAMELA",SG10,Missing Backup document,0.0,,PROCESSED,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1003808194,"JOYOU DATA TECHNOLOGY LTD.,CO",HI,,310382440.0,3700206774,,CS HARDWARE,CN001,2017-09-26 00:00:00,2017-10-09 00:00:00,2017-10-12 00:00:00,3.0,13.0,Good,-13855,CN,,EMC Std. Sales Order,,"WANG, HAI",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000661994,SPRINGPEOPLE SOFTWARE PRIVATE LIMITED,HI,NT07,310009864.0,3700159175,,CUSTOMER EDUCATION,IN001,2017-05-15 00:00:00,2017-05-15 00:00:00,2017-05-22 00:00:00,7.0,0.0,Good,-1800,IN,,EMC Std. Sales Order,,"KUMAR, PRASHANT",IE10,,0.0,,PROCESSED,Low Pay,Customer Education,Ex Works
AU12_1000169529,QLD DEPARTMENT OF TRANSPORT AND MAIN ROADS,HI,NT07,,A2400661531303V8,,,AU001,2017-09-26 00:00:00,2017-09-26 00:00:00,2017-09-26 00:00:00,0.0,0.0,Good,999,,,,,,AU12,,,,,Low Pay,,
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,40619921.0,4000076025,CUSTOMER SERVICE,CS HARDWARE,JP001,2016-01-13 00:00:00,2016-03-31 00:00:00,2016-03-31 00:00:00,0.0,78.0,Good,1433,JP,,Service and Maint.,,,JP10,,0.0,,PROCESSED,Low Pay,RENEWAL,Delivered Duty Paid
IE10_1003809832,DIGITAL CHINA DATA SERVICES (HK) LIMITED,HI,NT10,,0090742088,,,CN001,2016-07-15 00:00:00,2016-08-29 00:00:00,2016-07-27 00:00:00,-33.0,45.0,Good,-2740,,,,,,IE10,,,,,Low Pay,Product PS Level 2,
IE10_1000210789,KARIN ELECTRONIC SUPPLIES CO LIMITED,MED,NT07,50278331.0,3700187053,EMC,HARDWARE,HK001,2016-12-19 00:00:00,2016-12-19 00:00:00,2017-03-07 00:00:00,78.0,0.0,Bad,-6586,HK,,EMC Credit Memo Req,,,IE10,,,,,Low Pay,Product PS Level 2,Carriage and insurance paid to
AU12_1000299863,DE LAGE LANDEN PTY LIMITED,LOW,NT07,30726423.0,2700043631,ISILON,HARDWARE,AU002,2016-03-04 00:00:00,2016-04-03 00:00:00,2016-03-08 00:00:00,-25.0,30.0,Good,204876,AU,,Lease Direct Funded,,"SLUITER, RICHARD",AU12,,0.0,,INTERNAL - FULLY PROCESSED,High Pay,LEASE,Carriage and insurance paid to
IE10_1000276872,REDINGTON DISTRIBUTION PRIVATE LTD SINGAPORE,HLD,NT07,30663484.0,3700137483,,CUSTOMER EDUCATION,IE007,2015-07-09 00:00:00,2015-08-08 00:00:00,2015-08-19 00:00:00,11.0,30.0,Good,107962,SG,,EMC Std. Sales Order,,,IE10,,,,,High Pay,Product PS level 1,Ex Works
SG10_1000215698,DE LAGE LANDEN PTE LTD,LOW,NT07,310045497.0,4500014992,ISILON,SOFTWARE,SG002,2016-05-27 00:00:00,2016-06-26 00:00:00,2016-05-27 00:00:00,-30.0,30.0,Good,175520,SG,,Lease Direct Funded,,"TAY, LICHING",SG10,,0.0,,MANUAL EXCEL,High Pay,LEASE,Carriage and insurance paid to
JP10_1000242020,NETWORLD CORPORATION,LOW,EO14,310004520.0,4000076606,UNIFIED,SOFTWARE,JP001,2016-02-01 00:00:00,2016-04-29 00:00:00,2016-05-12 00:00:00,13.0,88.0,Good,51191,JP,,EMC Issue,,"ITAGAKI, JUN",JP10,,0.0,,PROCESSED,High Pay,Product PS level 1,Delivered Duty Paid
PH10_1000265190,"MSI ECS PHILS., INC",HLD,NT07,310171581.0,1250003261,CUSTOMER SERVICE,CS SOFTWARE,PH001,2016-10-03 00:00:00,2016-11-02 00:00:00,2016-12-02 00:00:00,30.0,30.0,Bad,118999,PH,,EMC Std. Sales Order,,"PEJI, DEGUZMAN",PH10,,,,,High Pay,Product PS level 1,Ex Works
IE10_1003808194,"JOYOU DATA TECHNOLOGY LTD.,CO",HI,,310382440.0,3700206774,CLARIION,HARDWARE,CN001,2017-09-25 00:00:00,2017-10-09 00:00:00,2017-10-12 00:00:00,3.0,14.0,Good,-108105,CN,,EMC Std. Sales Order,,"WANG, HAI",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
SG10_1000480116,INGRAM MICRO ASIA LTD,LOW,NT12,310346927.0,4500018285,,CS HARDWARE,SG002,2017-06-02 00:00:00,2017-08-01 00:00:00,2017-07-19 00:00:00,-13.0,60.0,Good,20068,SG,,EMC Std. Sales Order,,"QUOTA HOUSE, ENT SINGAPORE",SG10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
KR10_1000190393,"TNU CO., LTD",LOW,NT07,40795908.0,4700029576,CUSTOMER SERVICE,CS HARDWARE,KR001,2017-06-29 00:00:00,2017-07-29 00:00:00,2017-07-31 00:00:00,2.0,30.0,Good,12693,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,
PH10_1000291621,THAKRAL INFOTECH INCORPORATED,HI,NT07,310289550.0,1250003702,CUSTOMER SERVICE,CS SOFTWARE,PH001,2017-04-17 00:00:00,2017-05-17 00:00:00,2017-07-06 00:00:00,50.0,30.0,Bad,310046,PH,,Contract Eval,,"ALILAM, MASHERRY",PH10,,,,,High Pay,Product PS level 1,Ex Works
AU12_1000301886,INFRONT SYSTEMS PTY LIMITED,HI,NT07,310346876.0,2700053649,UNIFIED,HARDWARE,AU002,2017-06-07 00:00:00,2017-07-07 00:00:00,2017-08-02 00:00:00,26.0,30.0,Bad,216,AU,Air,EMC Std. Sales Order,IE to AUACT - 4 - 6 Day Air MIT SYDNEY,"ADAM, MIKAIL",AU12,,,,,Low Pay,Product PS Level 2,Carriage and insurance paid to
CN10_1000659894,BENXI CENTRAL HOSPITAL,NEW,NT07,40785501.0,1050010014,CUSTOMER SERVICE,CS SOFTWARE,CN001,2017-05-24 00:00:00,2017-06-23 00:00:00,2017-05-31 00:00:00,-23.0,30.0,Good,10160,CN,,Service and Maint.,,,CN10,,,,,Low Pay,RENEWAL,
JP10_1000242020,NETWORLD CORPORATION,LOW,EO10,30705999.0,4000071442,UNIFIED,HARDWARE,JP001,2015-10-14 00:00:00,2015-11-30 00:00:00,2015-11-30 00:00:00,0.0,47.0,Good,13598,JP,,EMC Std. Sales Order,,,JP10,,0.0,,PROCESSED,Low Pay,Product PS level 1,Delivered Duty Paid
AU12_1000633635,EHEALTH NSW,NEW,NT07,30641869.0,2700037053,AVAMAR,SOFTWARE,AU002,2015-06-04 00:00:00,2015-07-04 00:00:00,2015-06-25 00:00:00,-9.0,30.0,Good,151034,AU,,EMC Std. Sales Order,,"EDWARDS, STEPHEN",AU12,,,,,High Pay,Product PS level 1,Delivered Duty Paid
SG10_1000664202,UBS AG SINGAPORE BRANCH,LOW,NT07,30604989.0,4500011211,SYMMETRIX,SOFTWARE,SG002,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-18 00:00:00,18.0,30.0,Bad,42067,SG,,EMC Std. Sales Order,,"CHUA, CHEE",SG10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000054292,CHANGHONG IT INFORMATION PRODUCTS CO. LTD.,LOW,LC07,310231922.0,3700186741,UNIFIED,HARDWARE,CN001,2016-12-15 00:00:00,2017-02-23 00:00:00,2017-03-28 00:00:00,32.0,70.0,Bad,15550,CN,Air,EMC Std. Sales Order,IE to CN - 4 - 6 Day Air MIT HK SCHENKER,"LIU, RENRONG",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1003808194,"JOYOU DATA TECHNOLOGY LTD.,CO",HI,,310382440.0,3700206774,UNIFIED,HARDWARE,CN001,2017-09-26 00:00:00,2017-10-09 00:00:00,2017-10-12 00:00:00,3.0,13.0,Good,-13855,CN,,EMC Std. Sales Order,,"WANG, HAI",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000242007,FUJITSU FSAS INC.,LOW,EO10,40515325.0,4000064448,CUSTOMER SERVICE,CS SOFTWARE,JP001,2015-06-04 00:00:00,2015-07-30 00:00:00,2015-07-24 00:00:00,-6.0,56.0,Good,12,JP,,Service and Maint.,,"TAKAHASHI, YUSUKE",JP10,,,,,Low Pay,RENEWAL,
IE10_1000297533,DIGITAL CHINA TECHNOLOGY LIMITED,MED,NT10,310359010.0,3700203903,RECOVERPOINTSW,SOFTWARE,CN001,2017-06-28 00:00:00,2017-08-12 00:00:00,2017-07-28 00:00:00,-15.0,45.0,Good,100712,HK,,EMC Std. Sales Order,,"CHEN, YING",IE10,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000297533,DIGITAL CHINA TECHNOLOGY LIMITED,MED,NT10,310359010.0,3700203903,CUSTOMER SERVICE,CS HARDWARE,CN001,2017-06-28 00:00:00,2017-08-12 00:00:00,2017-07-28 00:00:00,-15.0,45.0,Good,100712,HK,,EMC Std. Sales Order,,"CHEN, YING",IE10,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
SG10_1000176816,NCS PTE. LTD.,HI,NT07,310364468.0,4500019533,UNIFIED,SOFTWARE,SG001,2017-10-20 00:00:00,2017-11-19 00:00:00,2017-11-21 00:00:00,2.0,30.0,Good,13699,SG,,EMC Std. Sales Order,,"ZHOU, PEIJING",SG10,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
IE10_1000106961,INGRAM MICRO INDIA PRIVATE LIMITED,HLD,NT07,40653748.0,3700166366,CUSTOMER SERVICE,CS SOFTWARE,IE007,2016-04-30 00:00:00,2016-05-30 00:00:00,2018-01-19 00:00:00,599.0,30.0,Bad,4446,IN,,Service and Maint.,,,IE10,,0.0,,PROCESSED,Low Pay,RENEWAL,
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,30721626.0,4000071932,UNIFIED,SOFTWARE,JP001,2015-10-29 00:00:00,2015-12-30 00:00:00,2015-12-30 00:00:00,0.0,62.0,Good,187150,JP,,Contract Eval,,"OTSUKA, TAKAYUKI",JP10,,0.0,,PROCESSED,High Pay,Product PS level 1,Delivered Duty Paid
IE10_1000297533,DIGITAL CHINA TECHNOLOGY LIMITED,MED,NT10,,0090738198,,,CN001,2016-07-08 00:00:00,2016-08-22 00:00:00,2016-07-10 00:00:00,-43.0,45.0,Good,-8419,,,,,,IE10,,,,,Low Pay,Product PS level 1,
JP10_1000664935,SOFTBANK COMMERCE & SERVICE CORP,LOW,EO10,40859493.0,4000109288,CUSTOMER SERVICE,CS HARDWARE,JP001,2017-12-23 00:00:00,2018-02-28 00:00:00,2018-02-28 00:00:00,0.0,67.0,Good,2638,JP,,Service and Maint.,,,JP10,,,,,Low Pay,RENEWAL,Delivered Duty Paid
AU12_1000225223,WESTPAC BANKING CORPORATION,HI,NT10,320131338.0,2700059570,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,AU002,2018-02-22 00:00:00,2018-04-08 00:00:00,2018-05-31 00:00:00,53.0,45.0,Bad,52477,AU,,EMC Utility Charges,,,AU12,,,,,High Pay,3rd Party HW Maint,Carriage and insurance paid to
JP10_1000262744,OTSUKA CORPORATION,LOW,EO10,40533017.0,4000066427,CUSTOMER SERVICE,CS SOFTWARE,JP001,2015-07-10 00:00:00,2015-08-30 00:00:00,2015-08-31 00:00:00,1.0,51.0,Good,1116,JP,,Service and Maint.,,"ITAGAKI, JUN",JP10,,,,,Low Pay,RENEWAL,
KR11_1000419501,TECHDATA CO. LTD,HI,LC08,310317561.0,2230015506,UNIFIED,HARDWARE,KH001,2017-04-26 00:00:00,2017-08-04 00:00:00,2017-05-19 00:00:00,-77.0,100.0,Good,203138,KR,Truck,EMC Std. Sales Order,IE to KR - 5 - 7 Day Ground MIT CORK,"KIM, INKYU",KR11,,,,,High Pay,Product PS level 1,Ex Works
IE10_1000228218,REDINGTON (INDIA) LIMITED,HI,NT07,310270756.0,3700192137,UNIFIED,HARDWARE,IE007,2017-02-06 00:00:00,2017-03-08 00:00:00,2017-03-14 00:00:00,5.0,30.0,Good,6532,IN,Air,EMC Std. Sales Order,IE to IN - 4 - 6 Day Air MIT CORK,"JOSHI, PARAG",IE10,,,,,Low Pay,Product PS level 1,Ex Works
KR11_1000033899,"KOLON BENIT CO.,LTD",HI,LC08,310333327.0,2230015748,,CS SOFTWARE,KH001,2017-05-18 00:00:00,2017-08-26 00:00:00,2017-06-07 00:00:00,-80.0,100.0,Good,3944814,KR,,EMC Std. Sales Order,,"JUNG, MIN HO",KR11,,,,,High Pay,Product PS level 1,Ex Works
CN10_1003834000,"JIANGSU FLOW-EVER INFORMATION TECHNOLOGY CO., LTD.",HI,NT07,40511396.0,1050006876,CUSTOMER SERVICE,CS HARDWARE,CN001,2015-07-27 00:00:00,2015-08-26 00:00:00,2015-08-19 00:00:00,-7.0,30.0,Good,2899,CN,,Service and Maint.,,"SU, JUNYUAN",CN10,,,,,Low Pay,RENEWAL,
JP10_1000242007,FUJITSU FSAS INC.,LOW,EO10,40711400.0,4000091151,CUSTOMER SERVICE,CS SOFTWARE,JP001,2016-11-04 00:00:00,2016-12-30 00:00:00,2016-12-22 00:00:00,-8.0,56.0,Good,48,JP,,Service and Maint.,,,JP10,,,,,Low Pay,RENEWAL,
NZ10_1000220585,WESTCON GROUP NZ LIMITED,HI,LC00,,0090561834,,,NZ002,2015-07-09 00:00:00,2015-07-09 00:00:00,2015-07-09 00:00:00,0.0,0.0,Good,-67404,,,,,,NZ10,,,,,Low Pay,Product PS level 1,
KR10_1000198426,JC1 CORPORATION,MED,NT07,40671090.0,4700023272,SYMMETRIX,CS SOFTWARE,KR001,2016-06-30 00:00:00,2016-07-30 00:00:00,2016-07-30 00:00:00,0.0,30.0,Good,4482,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,
IE10_1000255791,INGRAM MICRO INDIA PRIVATE LIMITED,HLD,NT07,310395487.0,3700208532,CUSTOMER SERVICE,CS HARDWARE,IE007,2017-08-15 00:00:00,2017-09-14 00:00:00,2017-10-12 00:00:00,28.0,30.0,Bad,98,IN,,EMC Std. Sales Order,,"SHARMA, HARISH",IE10,,,,,Low Pay,Product PS level 1,Ex Works
IE10_1000196335,ARIZEN SYSTEMS PTE LTD,HI,PP00,310361181.0,3700204181,,CS HARDWARE,CN001,2017-06-30 00:00:00,2017-06-30 00:00:00,2017-06-30 00:00:00,0.0,0.0,Good,66098,CN,,EMC Std. Sales Order,,"SHEN, BARRY",IE10,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000413172,CTC TECHNOLOGY CORPORATION / ITOCHU TECHNO-SCIE,MED,EO10,40706286.0,4000090478,CUSTOMER SERVICE,CS SOFTWARE,JP001,2016-10-18 00:00:00,2016-11-30 00:00:00,2016-11-30 00:00:00,0.0,43.0,Good,2236,JP,,Service and Maint.,,,JP10,,,,,Low Pay,RENEWAL,
KR10_1000205881,"INSUNG INFORMATION CO., LTD.",MED,NT07,40683212.0,4700023932,CUSTOMER SERVICE,CS SOFTWARE,KR001,2016-08-04 00:00:00,2016-09-03 00:00:00,2016-12-30 00:00:00,118.0,30.0,Bad,371,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,Ex Works
KR11_1000258016,DATASOLUTION INC.,LOW,LC08,30727616.0,2230010681,UNIFIED,SOFTWARE,KH001,2015-10-28 00:00:00,2016-02-05 00:00:00,2015-11-15 00:00:00,-82.0,100.0,Good,15698,KR,Air,EMC Std. Sales Order,IE to KR - 4 - 6 Day Air MIT CORK,"HWANG, GILCHAN",KR11,,0.0,,PROCESSED,Low Pay,Product PS level 1,Ex Works
JP10_1000242020,NETWORLD CORPORATION,LOW,EO14,310188055.0,4000093266,MULTI PLATFORM,SOFTWARE,JP001,2016-12-20 00:00:00,2017-03-01 00:00:00,2016-12-30 00:00:00,-61.0,71.0,Good,214237,JP,,EMC Std. Sales Order,,"OKUDA, AYAKA",JP10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
KR10_1000033899,"KOLON BENIT CO.,LTD",HI,NT07,40669482.0,4700023115,SYMMETRIX,CS HARDWARE,KR001,2016-06-30 00:00:00,2016-07-30 00:00:00,2016-06-30 00:00:00,-30.0,30.0,Good,1818,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,Ex Works
PH10_1000265190,"MSI ECS PHILS., INC",HI,,310111750.0,1250003158,CUSTOMER SERVICE,CS SOFTWARE,PH001,2016-10-06 00:00:00,2016-10-14 00:00:00,2017-02-17 00:00:00,126.0,8.0,Bad,-3913,PH,,EMC Std. Sales Order,,"SAMPATON, HENLIE",PH10,,,,,Low Pay,Product PS level 1,Ex Works
AU12_1000237479,OPTUS ADMINISTRATION PTY LTD,LOW,EO10,310607783.0,2700062081,CUSTOMER SERVICE,CS HARDWARE,AU002,2018-06-13 00:00:00,2018-07-30 00:00:00,2018-07-31 00:00:00,1.0,47.0,Good,3212,AU,,EMC Std. Sales Order,,"HARGREAVES, BEN",AU12,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
